What is the architect of tour de la bourse ? 	 select var_x where brack_open dbr_Tour_de_la_Bourse dbo_architect var_x brack_close
What is the architect of calumet hotel ? 	 select var_x where brack_open dbr_Calumet_Hotel_(Portland,_Oregon) dbo_architect var_x brack_close
What is the architect of key bank tower ? 	 select var_x where brack_open dbr_Key_Bank_Tower_(Everett,_Washington) dbo_architect var_x brack_close
What is the architect of jesus marie convent ? 	 select var_x where brack_open dbr_Jesus_Marie_Convent_(Fall_River,_Massachusetts) dbo_architect var_x brack_close
What is the architect of odeon cinema ? 	 select var_x where brack_open dbr_Odeon_Cinema,_Bilston dbo_architect var_x brack_close
What is the architect of emmanuel church ? 	 select var_x where brack_open dbr_Emmanuel_Church_(Newport,_Rhode_Island) dbo_architect var_x brack_close
What is the architect of copenhagen city hall ? 	 select var_x where brack_open dbr_Copenhagen_City_Hall dbo_architect var_x brack_close
What is the architect of our lady of mercy's church ? 	 select var_x where brack_open dbr_Our_Lady_of_Mercy's_Church_(Bronx) dbo_architect var_x brack_close
What is the architect of seinäjoki city theatre ? 	 select var_x where brack_open dbr_Seinäjoki_City_Theatre dbo_architect var_x brack_close
What is the architect of calhoun county courthouse ? 	 select var_x where brack_open dbr_Calhoun_County_Courthouse_(Alabama) dbo_architect var_x brack_close
What is the architect of st. ann church ? 	 select var_x where brack_open dbr_St._Ann_Church_(East_Harlem) dbo_architect var_x brack_close
What is the architect of national mckinley birthplace memorial ? 	 select var_x where brack_open dbr_National_McKinley_Birthplace_Memorial dbo_architect var_x brack_close
What is the architect of children's library discovery center ? 	 select var_x where brack_open dbr_Children's_Library_Discovery_Center dbo_architect var_x brack_close
What is the architect of royal theater heerlen ? 	 select var_x where brack_open dbr_Royal_Theater_Heerlen dbo_architect var_x brack_close
What is the architect of old nueces county courthouse ? 	 select var_x where brack_open dbr_Old_Nueces_County_Courthouse dbo_architect var_x brack_close
What is the architect of branch house ? 	 select var_x where brack_open dbr_Branch_House dbo_architect var_x brack_close
What is the architect of durin bridge ? 	 select var_x where brack_open dbr_Durin_Bridge dbo_architect var_x brack_close
What is the architect of ward county courthouse ? 	 select var_x where brack_open dbr_Ward_County_Courthouse dbo_architect var_x brack_close
What is the architect of saline first presbyterian church ? 	 select var_x where brack_open dbr_Saline_First_Presbyterian_Church dbo_architect var_x brack_close
What is the architect of roberts park methodist episcopal church ? 	 select var_x where brack_open dbr_Roberts_Park_Methodist_Episcopal_Church dbo_architect var_x brack_close
What is the architect of matthew whaley school ? 	 select var_x where brack_open dbr_Matthew_Whaley_School dbo_architect var_x brack_close
What is the architect of vance creek bridge ? 	 select var_x where brack_open dbr_Vance_Creek_Bridge dbo_architect var_x brack_close
What is the architect of woodland public library ? 	 select var_x where brack_open dbr_Woodland_Public_Library dbo_architect var_x brack_close
What is the architect of walsall town hall ? 	 select var_x where brack_open dbr_Walsall_Town_Hall dbo_architect var_x brack_close
What is the architect of holy trinity church ? 	 select var_x where brack_open dbr_Holy_Trinity_Church,_Wavertree dbo_architect var_x brack_close
What is the architect of sherlock building ? 	 select var_x where brack_open dbr_Sherlock_Building dbo_architect var_x brack_close
What is the architect of belfast city hall ? 	 select var_x where brack_open dbr_Belfast_City_Hall dbo_architect var_x brack_close
What is the architect of makkhawan rangsan bridge ? 	 select var_x where brack_open dbr_Makkhawan_Rangsan_Bridge dbo_architect var_x brack_close
What is the architect of ironwood memorial/municipal building ? 	 select var_x where brack_open dbr_Ironwood_Memorial/Municipal_Building dbo_architect var_x brack_close
What is the architect of bayreuth festspielhaus ? 	 select var_x where brack_open dbr_Bayreuth_Festspielhaus dbo_architect var_x brack_close
What is the architect of linnahall ? 	 select var_x where brack_open dbr_Linnahall dbo_architect var_x brack_close
What is the architect of broadhurst theatre ? 	 select var_x where brack_open dbr_Broadhurst_Theatre dbo_architect var_x brack_close
What is the architect of county hall ? 	 select var_x where brack_open dbr_County_Hall,_Cwmbran dbo_architect var_x brack_close
What is the architect of charburja durbar ? 	 select var_x where brack_open dbr_Charburja_Durbar dbo_architect var_x brack_close
What is the architect of wells fargo arena ? 	 select var_x where brack_open dbr_Wells_Fargo_Arena_(Des_Moines,_Iowa) dbo_architect var_x brack_close
What is the architect of bdo corporate center ? 	 select var_x where brack_open dbr_BDO_Corporate_Center dbo_architect var_x brack_close
What is the architect of bamble church ? 	 select var_x where brack_open dbr_Bamble_Church dbo_architect var_x brack_close
What is the architect of elliott house ? 	 select var_x where brack_open dbr_Elliott_House,_Wellington dbo_architect var_x brack_close
What is the architect of river city ? 	 select var_x where brack_open dbr_River_City_(building) dbo_architect var_x brack_close
What is the architect of vester allé 12 ? 	 select var_x where brack_open dbr_Vester_Allé_12 dbo_architect var_x brack_close
What is the architect of dutchess county court house ? 	 select var_x where brack_open dbr_Dutchess_County_Court_House dbo_architect var_x brack_close
What is the architect of the mondrian ? 	 select var_x where brack_open dbr_The_Mondrian dbo_architect var_x brack_close
What is the architect of beppu tower ? 	 select var_x where brack_open dbr_Beppu_Tower dbo_architect var_x brack_close
What is the architect of st. james episcopal church ? 	 select var_x where brack_open dbr_St._James_Episcopal_Church_(New_London,_Connecticut) dbo_architect var_x brack_close
What is the architect of bethanga bridge ? 	 select var_x where brack_open dbr_Bethanga_Bridge dbo_architect var_x brack_close
What is the architect of one business bay ? 	 select var_x where brack_open dbr_One_Business_Bay dbo_architect var_x brack_close
What is the architect of untermyer park and gardens ? 	 select var_x where brack_open dbr_Untermyer_Park_and_Gardens dbo_architect var_x brack_close
What is the architect of 1201 third avenue ? 	 select var_x where brack_open dbr_1201_Third_Avenue dbo_architect var_x brack_close
What is the architect of all saints' church ? 	 select var_x where brack_open dbr_All_Saints'_Church,_Weston,_Cheshire dbo_architect var_x brack_close
What is the architect of rovaniemi city hall ? 	 select var_x where brack_open dbr_Rovaniemi_city_hall dbo_architect var_x brack_close
What is the architect of washington armory ? 	 select var_x where brack_open dbr_Washington_Armory dbo_architect var_x brack_close
What is the architect of abbeville county courthouse ? 	 select var_x where brack_open dbr_Abbeville_County_Courthouse dbo_architect var_x brack_close
What is the architect of jewelers building ? 	 select var_x where brack_open dbr_Jewelers_Building_(1882) dbo_architect var_x brack_close
What is the architect of tala tank ? 	 select var_x where brack_open dbr_Tala_tank dbo_architect var_x brack_close
What is the architect of theatre royal waterford ? 	 select var_x where brack_open dbr_Theatre_Royal_Waterford dbo_architect var_x brack_close
What is the architect of st mary's cathedral ? 	 select var_x where brack_open dbr_St_Mary's_Cathedral,_Tuam dbo_architect var_x brack_close
What is the architect of the st. regis washington ? 	 select var_x where brack_open dbr_The_St._Regis_Washington,_D.C. dbo_architect var_x brack_close
What is the architect of alwyn court ? 	 select var_x where brack_open dbr_Alwyn_Court dbo_architect var_x brack_close
What is the architect of anatomical theatre of padua ? 	 select var_x where brack_open dbr_Anatomical_Theatre_of_Padua dbo_architect var_x brack_close
What is the architect of desoto parish courthouse ? 	 select var_x where brack_open dbr_DeSoto_Parish_Courthouse dbo_architect var_x brack_close
What is the architect of holy trinity ? 	 select var_x where brack_open dbr_Holy_Trinity,_Sloane_Street dbo_architect var_x brack_close
What is the architect of dragon bridge ? 	 select var_x where brack_open dbr_Dragon_Bridge_(Da_Nang) dbo_architect var_x brack_close
What is the architect of selskabet kjæden ? 	 select var_x where brack_open dbr_Selskabet_Kjæden dbo_architect var_x brack_close
What is the architect of leeds town hall ? 	 select var_x where brack_open dbr_Leeds_Town_Hall dbo_architect var_x brack_close
What is the architect of charlotte williams memorial hospital ? 	 select var_x where brack_open dbr_Charlotte_Williams_Memorial_Hospital dbo_architect var_x brack_close
What is the architect of manchester central convention complex ? 	 select var_x where brack_open dbr_Manchester_Central_Convention_Complex dbo_architect var_x brack_close
What is the architect of horner houses ? 	 select var_x where brack_open dbr_Horner_Houses dbo_architect var_x brack_close
What is the architect of matanuska colony community center ? 	 select var_x where brack_open dbr_Matanuska_Colony_Community_Center dbo_architect var_x brack_close
What is the architect of st mary of the angels ? 	 select var_x where brack_open dbr_St_Mary_of_the_Angels,_Bayswater dbo_architect var_x brack_close
What is the architect of white cross orphanage ? 	 select var_x where brack_open dbr_White_Cross_Orphanage dbo_architect var_x brack_close
What is the architect of hotel ukraina ? 	 select var_x where brack_open dbr_Hotel_Ukraina,_Moscow dbo_architect var_x brack_close
What is the architect of 15 central park west ? 	 select var_x where brack_open dbr_15_Central_Park_West dbo_architect var_x brack_close
What is the architect of jabłonna palace ? 	 select var_x where brack_open dbr_Jabłonna_Palace dbo_architect var_x brack_close
What is the architect of shell centre ? 	 select var_x where brack_open dbr_Shell_Centre_(Calgary) dbo_architect var_x brack_close
What is the architect of carter's grove ? 	 select var_x where brack_open dbr_Carter's_Grove dbo_architect var_x brack_close
What is the architect of melbourne sports and entertainment centre ? 	 select var_x where brack_open dbr_Melbourne_Sports_and_Entertainment_Centre dbo_architect var_x brack_close
What is the architect of hirschholm palace ? 	 select var_x where brack_open dbr_Hirschholm_Palace dbo_architect var_x brack_close
What is the architect of russell theatre ? 	 select var_x where brack_open dbr_Russell_Theatre dbo_architect var_x brack_close
What is the architect of hubbard county courthouse ? 	 select var_x where brack_open dbr_Hubbard_County_Courthouse dbo_architect var_x brack_close
What is the architect of united states customhouse ? 	 select var_x where brack_open dbr_United_States_Customhouse_(Newburyport,_Massachusetts) dbo_architect var_x brack_close
What is the architect of warden's house ? 	 select var_x where brack_open dbr_Warden's_House_(McAlester,_Oklahoma) dbo_architect var_x brack_close
What is the architect of east block ? 	 select var_x where brack_open dbr_East_Block dbo_architect var_x brack_close
What is the architect of abc cinema ? 	 select var_x where brack_open dbr_ABC_Cinema,_Wakefield dbo_architect var_x brack_close
What is the architect of wabash railroad bridge ? 	 select var_x where brack_open dbr_Wabash_Railroad_Bridge dbo_architect var_x brack_close
What is the architect of drevja church ? 	 select var_x where brack_open dbr_Drevja_Church dbo_architect var_x brack_close
What is the architect of julia ideson building ? 	 select var_x where brack_open dbr_Julia_Ideson_Building dbo_architect var_x brack_close
What is the architect of davenport crematorium ? 	 select var_x where brack_open dbr_Davenport_Crematorium dbo_architect var_x brack_close
What is the architect of christ church methodist church ? 	 select var_x where brack_open dbr_Christ_Church_Methodist_Church dbo_architect var_x brack_close
What is the architect of cathay city ? 	 select var_x where brack_open dbr_Cathay_City dbo_architect var_x brack_close
What is the architect of parkinson building ? 	 select var_x where brack_open dbr_Parkinson_Building dbo_architect var_x brack_close
What is the architect of ducal palace of lerma ? 	 select var_x where brack_open dbr_Ducal_Palace_of_Lerma dbo_architect var_x brack_close
What is the architect of niyamasabha mandiram ? 	 select var_x where brack_open dbr_Niyamasabha_Mandiram dbo_architect var_x brack_close
What is the architect of st. james church ? 	 select var_x where brack_open dbr_St._James_Church_(Stratford,_Connecticut) dbo_architect var_x brack_close
What is the architect of schloss rosenau ? 	 select var_x where brack_open dbr_Schloss_Rosenau,_Coburg dbo_architect var_x brack_close
What is the architect of la casa solariega de jose de diego ? 	 select var_x where brack_open dbr_La_Casa_Solariega_de_Jose_De_Diego dbo_architect var_x brack_close
What is the architect of st. michael's church ? 	 select var_x where brack_open dbr_St._Michael's_Church,_Ballinasloe dbo_architect var_x brack_close
What is the architect of highgrove ? 	 select var_x where brack_open dbr_Highgrove,_Stamford dbo_architect var_x brack_close
What is the architect of coast meridian overpass ? 	 select var_x where brack_open dbr_Coast_Meridian_Overpass dbo_architect var_x brack_close
What is the architect of paluh hinai bridge ? 	 select var_x where brack_open dbr_Paluh_Hinai_Bridge dbo_architect var_x brack_close
What is the architect of murray river road bridge ? 	 select var_x where brack_open dbr_Murray_River_road_bridge,_Swan_Hill dbo_architect var_x brack_close
What is the architect of bell street chapel ? 	 select var_x where brack_open dbr_Bell_Street_Chapel dbo_architect var_x brack_close
What is the architect of angus l. macdonald bridge ? 	 select var_x where brack_open dbr_Angus_L._Macdonald_Bridge dbo_architect var_x brack_close
What is the architect of church of st mark ? 	 select var_x where brack_open dbr_Church_of_St_Mark,_Broomhill dbo_architect var_x brack_close
What is the architect of barnes building ? 	 select var_x where brack_open dbr_Barnes_Building dbo_architect var_x brack_close
What is the architect of charlotte fire station no. 4 ? 	 select var_x where brack_open dbr_Charlotte_Fire_Station_No._4 dbo_architect var_x brack_close
What is the architect of county hall ? 	 select var_x where brack_open dbr_County_Hall,_Norwich dbo_architect var_x brack_close
What is the architect of silver bridge ? 	 select var_x where brack_open dbr_Silver_Bridge dbo_architect var_x brack_close
What is the architect of washington national cathedral ? 	 select var_x where brack_open dbr_Washington_National_Cathedral dbo_architect var_x brack_close
What is the architect of lamb's theatre ? 	 select var_x where brack_open dbr_Lamb's_Theatre dbo_architect var_x brack_close
What is the architect of milton house ? 	 select var_x where brack_open dbr_Milton_House_(Melbourne) dbo_architect var_x brack_close
What is the architect of bristol hippodrome ? 	 select var_x where brack_open dbr_Bristol_Hippodrome dbo_architect var_x brack_close
What is the architect of all saints' parish hall ? 	 select var_x where brack_open dbr_All_Saints'_Parish_Hall dbo_architect var_x brack_close
What is the architect of 900 north michigan ? 	 select var_x where brack_open dbr_900_North_Michigan dbo_architect var_x brack_close
What is the architect of st. john's presbyterian church ? 	 select var_x where brack_open dbr_St._John's_Presbyterian_Church_(Berkeley,_California) dbo_architect var_x brack_close
What is the architect of joseph r. bowles house ? 	 select var_x where brack_open dbr_Joseph_R._Bowles_House dbo_architect var_x brack_close
